Vallecano	Osasuna	0.844594	0.0896397	0.0657667	1.87	3.6	4.2
Levante	Celta	0.307632	0.277499	0.414869	2.1	3.45	3.5
AthMadrid	RealMadrid	0.240308	0.0130355	0.746657	3.1	3.55	2.25
AthBilbao	Barcelona	0.346179	0.119635	0.534186	6.1	4.35	1.53
Zaragoza	Mallorca	0.0939709	0.572551	0.333478	2.1	3.45	3.55
Espanol	Granada	0.766785	0.170377	0.0628381	1.91	3.55	4.05
Valladolid	Sevilla	0.681628	0.132006	0.186367	3	3.45	2.35
Malaga	Getafe	0.718618	0.0654185	0.215963	1.69	3.8	5.1
Sociedad	Valencia	0.767436	0.0672117	0.165353	2.3	3.5	3.05
Betis	LaCoruna	0.812175	0.0912607	0.0965647	1.91	3.6	4.1
