Vallecano	Osasuna	0.857091	0.0909661	0.0667398	1.87	3.5	4
Levante	Celta	0.271726	0.24511	0.366447	2.05	3.4	3.4
AthMadrid	RealMadrid	0.271012	0.0147011	0.842057	3.1	3.55	2.25
AthBilbao	Barcelona	0.324644	0.112193	0.500956	5.5	3.75	1.61
Zaragoza	Mallorca	0.0996479	0.60714	0.353624	2	3.4	3.5
Espanol	Granada	0.77683	0.172609	0.0636613	1.87	3.5	4
Valladolid	Sevilla	0.632182	0.12243	0.172848	2.9	3.4	2.3
Malaga	Getafe	0.724082	0.0659159	0.217605	1.71	3.6	4.75
Sociedad	Valencia	0.749259	0.0656198	0.161436	2.3	3.4	2.9
Betis	LaCoruna	0.794457	0.0892699	0.0944582	1.87	3.4	4.1
